CASEID,sharkbite,hunt_fish,scientists,education,ideology,urbanrural
202714,0,0,80,,4,suburb
202721,0,1,50,2,5,city
202738,0,0,50,5,3,suburb
202745,0,0,90,5,,small town
202752,0,1,90,6,2,city
202769,0,0,85,7,4,suburb
202783,0,0,60,2,6,suburb
202790,0,0,85,4,7,city
202806,0,0,100,7,2,city
202813,0,1,85,6,3,small town
202820,0,0,90,6,4,small town
202837,0,0,85,3,,suburb
202875,,,9,1,,
202882,,,,3,1,
202899,0,0,60,6,4,city
202905,0,1,100,3,6,suburb
202929,0,0,100,3,3,city
202936,0,0,60,3,5,suburb
202943,0,0,100,3,2,rural
202950,0,1,85,3,5,rural
202967,0,0,60,6,,suburb
202974,0,0,50,3,,city
202998,0,0,100,2,4,rural
203007,0,0,60,2,4,small town
203014,0,0,100,6,2,city
203021,0,0,100,7,4,suburb
203038,0,1,85,4,4,suburb
203045,0,0,100,2,,suburb
203069,0,0,100,7,4,suburb
203090,0,0,100,2,4,small town
203106,0,0,100,8,4,suburb
203113,1,1,100,3,7,city
203137,0,1,60,3,6,suburb
203144,0,0,100,6,2,small town
203151,0,0,80,5,4,suburb
203168,0,0,50,3,2,city
203175,,,,5,3,
203182,0,0,85,1,3,small town
203199,0,0,100,6,2,city
203205,,,,2,,
203212,0,0,100,6,4,small town
203229,0,0,40,6,7,small town
203236,0,1,100,3,4,rural
203243,0,0,60,4,6,suburb
203267,0,0,100,6,2,city
203281,0,0,100,,5,suburb
203298,0,1,85,7,4,rural
203304,,,,7,3,
203311,0,0,70,2,,city
203328,0,0,100,7,2,city
203335,,,,1,,
203342,0,0,60,4,4,city
203359,0,1,85,4,6,small town
203366,0,0,70,7,6,suburb
203380,0,1,70,7,7,city
203397,0,0,100,6,1,suburb
203403,0,0,70,2,4,suburb
203410,0,0,85,3,2,city
203427,0,0,100,6,2,suburb
203434,0,1,85,8,5,small town
203441,0,0,100,5,2,city
203458,0,0,15,1,,city
203472,0,0,85,6,,small town
203489,0,0,70,7,6,suburb
203496,0,0,100,8,4,city
203502,0,1,50,3,5,small town
203519,0,0,85,6,4,city
203526,0,0,85,6,,city
203533,0,0,60,3,2,city
203540,0,0,100,6,7,small town
203557,0,0,100,5,2,city
203564,0,1,70,3,7,suburb
203588,0,0,100,6,4,suburb
203595,0,0,100,8,5,city
203632,0,1,90,3,3,city
203649,0,0,80,7,2,rural
203670,0,0,85,2,4,rural
203687,0,0,85,3,7,city
203700,0,0,70,6,6,suburb
203724,0,0,85,6,6,small town
203731,0,1,85,7,7,rural
203762,0,1,100,6,2,suburb
203779,0,0,40,7,2,city
203786,0,0,100,7,,city
203793,0,1,90,3,7,small town
203816,,,,4,6,
203823,0,0,85,6,3,suburb
203830,0,0,70,6,5,small town
203854,0,1,80,7,6,suburb
203878,0,0,60,3,,city
203946,0,1,100,3,2,suburb
203953,0,1,100,6,4,city
203960,0,0,70,2,6,suburb
203977,0,0,100,3,4,small town
203984,0,1,50,6,3,suburb
204000,0,0,30,6,6,rural
204017,0,0,50,1,,rural
204031,0,0,50,5,7,small town
204048,0,1,85,6,,city
204055,0,0,100,3,,small town
204062,0,0,95,3,4,suburb
204086,0,0,100,7,5,suburb
204109,0,0,95,7,2,small town
204116,0,0,85,7,3,city
204123,0,0,85,3,4,city
204130,0,0,70,2,7,suburb
204147,0,0,100,6,3,city
204154,0,0,100,6,2,suburb
204161,0,0,,3,4,rural
204178,0,1,70,6,2,city
204185,0,0,50,7,6,suburb
204192,0,1,80,6,5,suburb
204208,0,0,70,6,6,suburb
204222,0,1,100,6,4,rural
204246,0,0,90,6,5,small town
204253,0,0,90,6,5,city
204260,0,0,85,3,3,city
204277,0,0,100,7,2,suburb
204284,0,0,80,2,6,suburb
204291,0,0,100,2,,small town
204307,0,0,70,4,7,rural
204321,,,,6,,
204338,0,0,100,3,4,small town
204345,0,0,85,6,6,city
204352,0,1,100,3,7,city
204369,0,1,50,2,,small town
204376,0,1,50,3,,rural
204383,0,0,70,5,6,suburb
204390,,,100,6,4,suburb
204413,0,0,85,6,6,suburb
204420,0,1,100,3,,small town
204437,0,1,30,7,,small town
204468,,,,1,,
204475,0,0,100,6,2,city
204482,0,0,85,3,5,small town
204505,0,0,70,5,6,suburb
204512,0,0,85,6,2,small town
204529,0,1,100,7,1,small town
204536,0,1,100,7,5,suburb
204543,0,0,100,7,3,city
